Car Model ,Review,Style,Comfort,Fuel Economy,Performance,Value for Money
2018 Suzuki Cultus VXL,Exterior is very good dynamic shape Interior is quite good Suspension is bit stiffer but very good for handling Ground clearance is very nice One of best feature is its very very fule efficient in 1 tank 35 litres i drove up to 750km Avrg approximately 23kmpl on long And on moterway 19.5 kmpl at 130kmph speed. In city i get 18 kmpl. Its really true. Overall its aa good economical car but just compromise on build quality. Ab itna to chalta ha,5-rating,4-rating,5-rating,5-rating,5-rating
2004 Honda City i-DSI,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,5-rating,5-rating,5-rating,5-rating
2019 Suzuki Cultus VXL,"I had this car for 5 years. Its great value for money for people who want to buy car around 10 lac. -> Exterior design is 90s fashioned but has much better aerodynamics as compared to many other cars like Toyota Corolla and other cars available in this price tag. -> Interior space is good for people under 6 feet 3 inch. It comes with standard AC/Heater, most people have replaced standard cd player with the DVD touch screen with 4 speakers. Comfort level is also high. -> If driven under speed limits, its fuel economy in city is 12-14 and on long drive it ranges between 14-17 depending on the driver. -> Ride Quality is 4/5. Sometimes it feels like under-powered(In case of breaking the speed limits or climbing the hills). It under-steers only above speed limits so handling is good. It doesn't have ABS but the standard breaks are pretty well.  Its strongly recommended for people who want to buy car around 10 lac. More ",5-rating,5-rating,5-rating,4-rating,1-rating
2021 Honda BR-V i-VTEC S,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,5-rating,5-rating,5-rating
2021 Honda BR-V i-VTEC S,Don't buy Suzuki they have pathetic after sales service even they don't have parts of there cars. My car Suzuki Cultus 2019 model is standing at one of Suzuki showroom for about more than one month due to unavailability of only one part and they are continuously changing the timelines. I called there call center multiple times but noone receives the call. If u want to waste ur money than go for it.,5-rating,4-rating,4-rating,1-rating,2-rating
2017 Honda City 1.3 i-VTEC Prosmatec,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),2-rating,5-rating,5-rating,1-rating,1-rating
2021 Toyota Yaris ATIV X CVT 1.5,Honda BRV s variant 2021 is very good family car with modren 3S dealership in all cities of Pakistan. its exterior looks very good . its all seats are very comfortable .its suspension is very good .push start with two air bags and every practical feature it have already built in . its fuel average in city with Ac is 9 to 12 and at long 14 to 18 according to deriving habits . it have good handling. Ac performance is very good even in very hot days .Due to 6 speed CVT automatic transmission its drive is very smooth .Honda BRV s variant is still value to money enen 3479000 rupee  More ,4-rating,4-rating,1-rating,5-rating,4-rating
2016 Lamborghini Aventador LP700-4,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),5-rating,5-rating,1-rating,5-rating,5-rating
2021 Toyota Fortuner TRD Sportivo,"Just bought new BRV 2021 vtec S. It's good family car in its class, with good space for 5 adults and 2 kids (last row seat). Unfortunately some downs I think are, very low quality tyres (general tyres of cheapest range), problem in ""fit"" & ""finish"" of car. Horn of car is more Lowder inside as compare to outside (an amusement for my kids every time I honk), very low quality plastics specially central arm rest quality is very cheap. Caben light both at driverside (map light) and main cabin are from 1973 version. Door handles on inside should be mat black instead of shimmering silver plastic!!, quality of floor mat given with factory fitting is worst (just like paper thin towels), bonnet cover from engine side (nammda) need to be installed from own pocket. DRLs bearly visible in day. Suspension is harder than city and felt each pebble and every pothole in road while driving!!. Engine is delayed acceleration even with high octane!!. More ",4-rating,1-rating,1-rating,2-rating,2-rating
2012 Toyota Prius S 1.8,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,1-rating,4-rating,2-rating,5-rating
2017 Nissan Dayz J,"Honda City has its own pros and cons. Personally, I am not impressed by the built quality of this car. I have kept it with immense care but still after 3 years and approx 70k milleage, there is a strange noise which can be heard from the engine while the car is accelerated. Even Honda itself is not able to determine this issue. Apart from this the dashboard of the car is loosing its paint gradually and it seems like the dashboard's original color was beige and the company spray painted the dashboard black. The performance and response of the engine is fine. But still even the top of the line aspire variant has no airbags and basic features such as traction control, automatic climate control, hill start assist, steering switches. I personally will not recommend this car to anyone as it priced approx 30 lacs. More ",1-rating,1-rating,5-rating,4-rating,5-rating
2020 Prince Pearl MT,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),1-rating,1-rating,5-rating,1-rating,5-rating
2011 Lexus RX Series 450H,Exterior : Personally I don't like the back shape a lot (seems outdated) The front shape however is really good. Drive : I think this car drives really well specially when compared to other CSUV's which almost fall in the same category. Very good noise deadening and extreme comfort. It also comes with a lot of options specially considering that it is a decade old car. ,3-rating,5-rating,5-rating,5-rating,4-rating
2021 Suzuki Alto VXL,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,5-rating,4-rating,5-rating
2020 Suzuki Wagon R Hybrid FZ,Best exterior and interior excellent fuel economy and performance is best in auto gear shift this car is best as its engine is alsa best anyway car is best for buy everyone should try this one its mileage is excellent some times rises to 36.8km/l In simple words car is best,5-rating,5-rating,4-rating,5-rating,4-rating
2019 Honda City 1.5 i-VTEC Prosmatec,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,4-rating,5-rating,5-rating,4-rating
2019 Honda City 1.3 i-VTEC Prosmatec,"I have just sold my MOVE 2014 Model, now I have in my mind to purchase 1000CC Car like, WagonR/Cultus etc, but when I saw the Suzuki Wagon R FZ (Hybrid) Japan import 2020, I really surprised to see this car. it has great specifications and features now I am in conflict should i got with Locally WagonR/Cultus or Japani WagonR FZ 2020 import. i would appreciate your suggestion and comments in this regards ",4-rating,5-rating,5-rating,5-rating,3-rating
2021 Toyota Yaris ATIV MT 1.3,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,5-rating,4-rating,5-rating
2000 Toyota Vitz,Although city is good car and value for money but its fuel average is disturbing it gives 7-8 in city on average foot and 12-14 on long if under 120 but it gives amazing performance amazing pickup and power of car gives you joy this car is for those who don't care about fuel average. My experience with city is too old had the same model in 2017 and got another one same model same specs in 2019 satisfied by its performance. It goes to 160-170 easily without any problem. Perfect car but fuel average is not so good.,5-rating,5-rating,5-rating,5-rating,4-rating
2016 Honda City Aspire Prosmatec 1.3 i-VTEC,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,5-rating,4-rating,5-rating
2015 Toyota Corolla XLi VVTi,cars camfort is good but car looks is not so good but car perfomence is optimal it is not value for money in 2021 changan alsvin and toyota yaris both are batter than honda city in 2019 corolla is a option but prefer honda city than gli \ xli because 1.3 corolla is under pawor and its avrage is bad than honda city honda city is nice car,5-rating,4-rating,4-rating,5-rating,3-rating
2021 DFSK Glory 580 Pro,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,2-rating,3-rating,5-rating
2021 KIA Grand Carnival,"Very decent design best drive best suspension smooth drive.. great patrol average.. better then corolla and city. Feature like hill assist, traction control, vahicle stability control and 2 air bags are best features for safety for u and your family.. best car of toyota ever..just position of arm rest is odd. Interior is better then city and corolla.. ",4-rating,5-rating,5-rating,5-rating,5-rating
2020 Suzuki Alto VXL,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,4-rating,4-rating,5-rating,5-rating
2020 Suzuki Alto VXR,"Excellent exterior & interior . With a respectable outlook I have driven this car from Lahore to Karachi and the performance is outstanding. Alhamdolillah very much satisfied. The car A/C is too good, the handling is reasonable, but at high speed extra cautious driving attitude should be adopted. Perfect family car. 25 l/km on highway and 18 to 19 in city. Value to money.",5-rating,5-rating,5-rating,5-rating,5-rating
2020 Honda BR-V i-VTEC S,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,5-rating,5-rating,3-rating
2021 Prince Pearl MT,I am owning Honda brv ivtec s varient Before this i was owning honda civic 2018 The comfort of brv is not good the suspension is hard the seats are also very hard the fuel average is around 10 km/l in city on long it gives me 15 km/l which is good Exterior is good but the interior is of cheap plastic but considering to other 7 seater car the price is good the toyota rush 7seater is around 55 lacs Fortuner is also around 90 This car is good in its price and features But needs improvements,5-rating,5-rating,5-rating,4-rating,5-rating
2017 Toyota Corolla GLi 1.3 VVTi,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,4-rating,3-rating,3-rating
2021 Prince Pearl MT,"Exterior is very beautiful looks like toyota vits. interior is also very very beautiful and dashing, seats are very comfortable, dashboard is very beautiful, a/c works well, car pick is well fuel average is very well. well car for family use power windows, alloy wheels, power mirrors, rear camera and 4 seat belts installed. best car for 800cc.",5-rating,3-rating,4-rating,5-rating,5-rating
2021 MG HS 1.5 Turbo,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,4-rating,3-rating,5-rating,5-rating
2020 KIA Picanto 1.0,style is good comfort is very poor compared to Japanese cars especially back seats very bad for long routes built qualiy is also poor as compared to previous models driver view is very poor having big side pillars and big dashboard provides very bad visibility breaks need improvement as of today 2021 its not value for money as prices are gone to high engine performance is good and engine is very reliable ,3-rating,4-rating,5-rating,5-rating,5-rating
2018 Toyota Corolla GLi Automatic 1.3 VVTi,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,3-rating,5-rating,3-rating,3-rating
2020 KIA Picanto 1.0 AT,"Prince pearl is a very beautiful car,i would say excellent car with awesome features.i bought this car and i am totally satisfied.interior and exterior of car is also very good.power windows power sterring,child lock,back camera,4 seats belt.but little bit improvements are required in engine and its finishing.",4-rating,5-rating,5-rating,5-rating,4-rating
2021 KIA Sportage AWD,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),3-rating,5-rating,3-rating,5-rating,4-rating
2017 Nissan Note E,"The best crossover in Pakistan hands down. The build quality,safety features,the drive, features,materials used are the best found in any car sold in pakistan. Quality on par with Germans. The drive,soundless even at highspeeds response from the 1.5T was great,not including the turbo lag which is normal for turbocharged cars. The pick-up is amazing. 0-60 within 10 secs. The interior felt exquisite and ""quality"" The Radar cruise control with MG pilot makes it pretty much autonomous. Now onto a few cons of the HS; Upon startup,there are too many dings and dongs notifying the driver about the assists on, which can at times get annoying. Another downside is the laggy-ness of the central screen which can get on the nerves as everything is controlled from the screen like AC,Drive assists etc. And now in my opinion,these driver assists are nothing but a gimmick for pakistani roads but are a good party piece.  More ",5-rating,5-rating,5-rating,5-rating,5-rating
2021 Changan Alsvin 1.5L DCT Lumiere,Do you find this review helpful? YesNo Report (4 out of 4 people found this review helpful),5-rating,5-rating,3-rating,5-rating,5-rating
2020 Prince Pearl MT,"Great value for money. Its feature packed but with some minor issues which company has rectified for users like dash board noise and door stiffness. Build quality is very solid. I switched from mehran and had mediocre expectations. this car is the best in the price range and provides features which Alto and even cultus dont have and features a modern and classy look. Fuel average 13-15, which is fine by me, i prefer driving a feature packed car than driving a tin box for 1-2km/liter better average. It all comes down to personal preference. ",5-rating,4-rating,3-rating,3-rating,5-rating
2021 Changan Alsvin 1.5L DCT Lumiere,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,3-rating,3-rating,5-rating,5-rating
2014 Suzuki Cultus EURO II,changan alsvin 1.5 lumiere's body is a bit light weight and car is not suitable for bumpy roads. fuel economy is 12kmpl in city and 14kmpl on motorway. It is a good mid sized sedan in a low price category. the top speed of this car is 174km/hr which i tested  ,3-rating,3-rating,5-rating,2-rating,5-rating
2021 Changan Alsvin 1.5L DCT Lumiere,Do you find this review helpful? YesNo Report (1 out of 2 people found this review helpful),3-rating,5-rating,4-rating,5-rating,5-rating
2020 Toyota Yaris ATIV X CVT 1.5,Always best for 1000cc catagory even superior than latest shape. its offer comfort along with style in affordable price. Though logo of Suzuki is not so precious but iverall performance Good . Its interior is also good ... I suggest to all if buy convert it in power steering which not cost so much but give you liberty from though handeling of steering ,5-rating,5-rating,2-rating,4-rating,3-rating
2020 Prince Pearl MT,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),4-rating,4-rating,5-rating,5-rating,1-rating
2019 Suzuki Hustler G Turbo,"interior is international level the cars exterior is very stylish and modern good car for 5to7 people family or people who travel i went to kalam on this car and the drive is very comfy best compact sedan ever made in pakistan in my opinion it beats yaris,city and vitz its interior and exterior is better than civic i have owned city 2019,yaris 2020,and toyyota corolla 2016 and civic 2017 bu this is the best one ",5-rating,2-rating,4-rating,5-rating,5-rating
2020 FAW V2 VCT-i,Do you find this review helpful? YesNo Report (2 out of 4 people found this review helpful),4-rating,5-rating,4-rating,5-rating,1-rating
2021 United Alpha 1.0 Manual,Exterior is good. Too much functions. But this is samll then the corolla but better option then the honda city if you have small family.honda city ka functions kam hai iss sa aur comfort b acha hai yaris ka bs dikhnay ma choti hai as sach hai ni. Fuel quality is much much better.top of the line model have too much functions bs crusie control ni hai lakin agr ap ko new car ni chahiye tu ap ka pass japanese cars ka b option hai my opinion is japanese car go for them baki ap ki marzi,2-rating,3-rating,5-rating,4-rating,1-rating
1997 Honda City EXi,Do you find this review helpful? YesNo Report (0 out of 1 person found this review helpful),5-rating,4-rating,5-rating,3-rating,5-rating
2006 Chery QQ 0.8 Comfortable,exterior of car is beautiful and interior of car is also great but this car is not reliable I bought this car in may 2020 and till now my car has gone to dealership every month and on 9 December my cars wiring caught fire I took my car to the dealership and they returned me my car on 10 January and I am selling my car because company is not helpful I have driven Suzuki mehran I hitted that car and destroyed the front of it and Suzuki fixed my car in a week and don't say they should also fix it in a week but don't take one and a half month please don't buy pearl its not good you will regret it More ,3-rating,4-rating,5-rating,4-rating,5-rating
2010 Toyota Corolla GLi 1.3 VVTi,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),3-rating,5-rating,5-rating,1-rating,5-rating
2020 Toyota Yaris ATIV MT 1.3,best car of 2020/21 . interior and exterior is outstanding.comfort and spacious level is very good.fuel efficiency is very economical.driving is very smooth and comfortable. i am fully satisfied regarding this vehicle. but our companies meet the international standards of quality and necessary safety of the buyers. our government compelled the sellers to attain the standards safety and comfort of the buyers.,5-rating,5-rating,5-rating,5-rating,5-rating
2020 Prince Pearl MT,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,5-rating,5-rating,1-rating
2020 DFSK Glory 580 Pro,"exterior is gud and interior is apparently gud but quality is low, dashboard has a very bad noise and engine noise is also very uncomfortable. parts are of very low quality, fuel avg is really very bad. steering wheel have vibration engine also vibrates.. bumpy ride zero comfort.",5-rating,5-rating,5-rating,1-rating,5-rating
2016 Honda HR-V CVT,Do you find this review helpful? YesNo Report (0 out of 1 person found this review helpful),5-rating,5-rating,1-rating,1-rating,5-rating
2020 DFSK Glory 580 Pro,"DFSK glory 580 pro Features are much better than sportage or tucson best features best suspension ....... I talk system , cruise control,leather seats,turning light sensors, panoramic sunroof, value for money best 7 seater car best SUV HIGHLY RECOMMENDED. ",5-rating,1-rating,1-rating,5-rating,5-rating
2018 Honda BR-V i-VTEC S,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),2-rating,1-rating,1-rating,5-rating,4-rating
2009 Toyota Passo G 1.0,"loving the car great fuel average lots of functions smooth ride way better then vezel cant find any better car in this range cruise paddle shifter 17"" alloy great milage gives me 16+ looks very sporty better then honda civic x local toyota loq quality cars",1-rating,1-rating,5-rating,5-rating,5-rating
2014 Toyota Aqua S,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),1-rating,1-rating,5-rating,5-rating,5-rating
2020 DFSK Glory 580 Pro,Excellent value for your money. The quality of the SUV is amazing. It provides many features including italk. I would highly recommend this vehicle. The price of this SUV is very reasonable compared to others SUVs in the market. I love that it has 7 seats so you can fit in larger family member.,1-rating,5-rating,5-rating,5-rating,5-rating
2006 Mitsubishi Lancer GLX 1.5,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),1-rating,5-rating,5-rating,5-rating,5-rating
2016 Suzuki Mehran VXR Euro II,BRV is giving fuel average of 10+in city with dual AC and around 12km on motorways with speed of 120. The average remains 12+ if the speed is kept around 90. Hence it is economical 7seater car.I visited multiple times from Islamabad to Lahore even with 8 people and the average is obtained even better than the mentioned above. ,5-rating,5-rating,5-rating,3-rating,5-rating
2020 Prince Pearl MT,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,5-rating,4-rating,5-rating
2015 Daihatsu Mira ES,Built quality is not every good but exterior is beautiful Interior is extremely spacious. It has the function of eco idle which is very useful especially in Lahore. Fuel economy of this car is best. It gives us 15 to 16 km average with Ac and 17 to 18 km without Ac. I am happy with this car. I recommend it to people who want to buy a good car within 14 to 15 lac.,4-rating,4-rating,5-rating,4-rating,4-rating
2020 Suzuki Alto VXR,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,5-rating,4-rating,4-rating,4-rating
2010 Toyota Corolla GLi 1.3 VVTi,they could have made the exterior of this car more stylish and sturdy because of the price slab it falls in is near premium.  interior of the car is good as compared to previous versions and mehran who it has replaced.  Avg is AMAZING. it is a perfect budget car for traveling in city. easy to maneuver and comfortable drive.  I would say the least that it is a premium plus budget car that has replaced the decade old mehran and alto.  P.S: Suzuki please improve the built quality of your cars if you want to compete with toyota and honda in prices.  More ,5-rating,4-rating,4-rating,5-rating,5-rating
2017 Suzuki Cultus VXR,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,4-rating,5-rating,4-rating,1-rating
2003 Hyundai Santro Club," its very excellent car it gives mileage of 9 in city and 12 in highway,its comfort is way to better and its metal is also strong because despite being hit many times by vehicles no big dent came but only 1 back light broked.its comfort level is way too good it can easily carry 6 peoples with their bags",4-rating,5-rating,5-rating,5-rating,5-rating
2017 Suzuki Wagon R VXL,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),3-rating,5-rating,4-rating,5-rating,5-rating
2020 Suzuki Alto VXR,Very bad car.gave me 13.9 average in city with ac and gave me 15 average on motorway with ac.would prefer wagon r and picanto.build quality issue very bad suspension. This car is very bad. Very much noises from unknown parts.Such a bad car.And light broke due to force of air when i was driving it on 145 its front right light broke due to air,5-rating,5-rating,5-rating,1-rating,1-rating
1999 Suzuki Khyber GA,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),5-rating,4-rating,5-rating,1-rating,5-rating
1995 Toyota Corona EX Saloon,"Amazing Exterior design, Plus I have converted the features of my Santro Club to Santro Executive. It has really nice aerodynamics on high speed as well. The car goes very stable on motorway as well.  The interior is also decent and of good quality. The interior is still shiny like a new car. I have added few add-ons in the interior to make it stand different.  Fuel Economy with-in city is around 12-13 (with AC) and 15-16 (without AC)  I would love to keep this car for a long term since it has all the features that we can expect in this price range. Infact, this is my 2nd Santro  More ",5-rating,5-rating,5-rating,5-rating,5-rating
2019 Suzuki Wagon R VXL,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,5-rating,1-rating,5-rating,4-rating
2020 Suzuki Cultus VXL,This car is amazing.only one issue in build quality.cultus compared is very bad.Wagon r speed I drove it 180 with ac.This car is excellent.i would prefer wagon r . I have raced it with cultus both car have same speed.wagon r have me 17 kilometer average in city and 20 kilometer on motorway with ac,5-rating,5-rating,1-rating,5-rating,2-rating
2006 Honda City VTEC Steermatic,Do you find this review helpful? YesNo Report (2 out of 3 people found this review helpful),5-rating,5-rating,1-rating,5-rating,5-rating
2019 Suzuki Cultus VXL," Poor Suspension Sound comes from unknown body pieces. Interior Plastic is very cheap. It produces irritating sounds on bumpy roads. Body material is also very low quality. Dent in the fender due to a tape ball throws Paint quality is worse, Paint started to fade automatically. Just over 37000Km repaired its KANGI, Chimtay etc.",2-rating,2-rating,4-rating,2-rating,1-rating
2020 KIA Picanto 1.0 AT,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),2-rating,4-rating,2-rating,1-rating,4-rating
2020 KIA Sportage Alpha,"I am driving this car from last 10 months, What I get after driving this vehicle. It is totally an awesome addition to Pakistan auto market. Kia Picanto build quality is really strong if compare with Suzuki and its quick pick + performance gives you an actual driving comfort. Regarding its fuel consumption then one thing I want to share, Picanto measures the average in liter/100km that gives you accurate reading on longer commute rather than on the smaller short distances.  Most of the time, I reset the meter before starting my longer commute approximately of 10, 15 or 20 kms within city then It gives me an average of 16-18 km/liter and on motorway when I reset the meter before commute then it gives me 18 - 20km/liter.  In summer, in AC works really awesome. I drove corolla and after driving this 1000cc machine, I really not get tired by its drive.  and please do not compare it with cultus in terms of quality, pick and performance. More ",4-rating,2-rating,1-rating,5-rating,5-rating
2008 Honda City i-DSI,Do you find this review helpful? YesNo Report (2 out of 2 people found this review helpful),2-rating,1-rating,4-rating,4-rating,4-rating
2015 Suzuki Swift DLX 1.3 Navigation,Marvellous designed vehicle Interior is fine Spacious and comfortable ride Good set of features Good pickup Suspension is good Seats are comfortable as comoared to local manufactured cars Far Better than Civic or Grande in this price range Everything is just perfect,1-rating,5-rating,5-rating,5-rating,5-rating
2012 Toyota Corolla GLi 1.3 VVTi,Do you find this review helpful? YesNo Report (0 out of 1 person found this review helpful),5-rating,4-rating,4-rating,5-rating,5-rating
2003 Honda Civic EXi Prosmatec,"I am a proud owner of a 2008 Honda City. and I would love to give a review of my experience. Exterior looks are not impressive but if compared with its previous model, the overall look was much improved. Interior gives a pleasing experience because of 2 tone color scheme of beige and brown. Interior is capacious with multiple storage spaces which gives ample room for storage. Fuel Economy is a plus for specially this generation. The I-DSi engine technology was specifically designed for giving impressive figures. Mine gives around 14-15 kmpl in city and 17-18 on motorway. Build quality is much better as compared to new models, which is the reason why it has a very compact cabin with excellent sound proofing and makes a quiet cabin with no sounds of surroundings. Overall its a perfect family car and I am satisfied with it.  More ",5-rating,5-rating,5-rating,4-rating,5-rating
2019 Honda City 1.3 i-VTEC,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,4-rating,5-rating,4-rating,4-rating
2017 Suzuki Alto F,This is really excellent car. I love the drive of this car. It gives me an average of 11 km/litre in city with Ac which is average but not that bad considering the drive and other parameters. Overall awesome experience. This is really excellent car. I love the drive of this car. It gives me an average of 11 km/litre in city with Ac which is average but not that bad considering the drive and other parameters. Overall awesome experience.  ,5-rating,5-rating,5-rating,5-rating,5-rating
2019 Honda City Aspire 1.3 i-VTEC,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,5-rating,5-rating,5-rating,5-rating
2016 Honda Freed + Hybrid G Honda Sensing,"We are using a corolla Gli 2012 model since 8 years as we bought it new in 2012.I would say this car is still an excellent option for people who have a limited investment.I mean the car's looks,style,build quality is way better.Outstanding extremely soft suspension,excellent fuel average very smooth drive and overall a decent car ",5-rating,5-rating,4-rating,5-rating,5-rating
2017 Suzuki Wagon R VXL,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,4-rating,5-rating,4-rating
2016 Toyota Corolla Altis Grande CVT-i 1.8,"Corolla grande is very reliable and durable car. it's suspension is excellent, made for Pakistan secondly Engine performance is also impressive. Handling is good, Fuel efficiency is good with low RPM. imported tyres with 16"" rims just changed the game. ",4-rating,4-rating,4-rating,4-rating,5-rating
2018 Honda BR-V i-VTEC S,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),4-rating,4-rating,4-rating,5-rating,2-rating
2005 Toyota Mark X 250G,exterior of the car is nice and stylish interior has inferior quality plastic fuel economy is nice considering 7-seater car car has very hard seats and stiff suspension no comfort provided in brv even mehran has better suspension than brv There is no sound proofing in this car it feels like you're sitting in a rickshaw I suggest you to buy Honda freed in this price range If you still want to buy it after reading this Then buy it at your own risk,4-rating,4-rating,5-rating,5-rating,5-rating
2005 Toyota Corolla X HID 40th Anniversary Limited 1.5,Do you find this review helpful? YesNo Report (0 out of 1 person found this review helpful),4-rating,5-rating,4-rating,2-rating,5-rating
2020 Toyota Corolla Altis Grande CVT-i 1.8,overall the best car . In this price brcaket i would say that its the best car . Its handling and performance are the best . it gives 9-10 km/l average in city which is i would say is very well .  If you buy a corolla or Civic it may dissapoint you if you compare it with Mark X .  It can go 0-180 in mininum 10 s . ,5-rating,1-rating,5-rating,5-rating,3-rating
2020 Changan Karvaan Base Model 1.0,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,4-rating,2-rating,5-rating,5-rating
2013 Toyota Corolla GLi 1.3 VVTi,Untouched no dent no paint only bumper color for fresh look otherwise guarantee Every thing in genuine condition need to sell car I want to seal my x corolla 2005 registered 2012 Islamabad number Engine is OK no working just driving Engine oil change on 4 _11_2020 ,1-rating,5-rating,5-rating,5-rating,5-rating
2020 Toyota Corolla GLi 1.3 VVTi,Do you find this review helpful? YesNo Report (0 out of 1 person found this review helpful),4-rating,2-rating,5-rating,5-rating,3-rating
